werkstoff,target,model,n_obs,n_folds,target_mean,target_std,target_cv,rmse_mean,rmse_rel_pct,mae_mean,r2_mean,r2_std
DA718,VB,gradient_boosting,138,28.0,110.43236714975846,39.37840029052551,0.35658386492000177,17.064413855318037,15.452366272450549,13.820869310177754,0.698669779587871,0.46724331213215853
IN718,VB,gradient_boosting,150,30.0,78.74777777777777,25.79116307413991,0.3275160747636747,10.611233896341254,13.474962971381387,8.957036866289693,0.7888253321012196,0.18123796944138582
DA718,VB,linear_regression,138,28.0,110.43236714975846,39.37840029052551,0.35658386492000177,20.19190728064869,18.284410451209688,17.1177741712992,0.6465203824033467,0.4190569548664048
IN718,VB,linear_regression,150,30.0,78.74777777777777,25.79116307413991,0.3275160747636747,10.55021072971086,13.397471049256806,9.052436962247524,0.7981178293470903,0.16811664060670545
DA718,VB,random_forest,138,28.0,110.43236714975846,39.37840029052551,0.35658386492000177,17.80400733225137,16.122091549579096,14.685495274387533,0.7114522155525501,0.3247631056030232
IN718,VB,random_forest,150,30.0,78.74777777777777,25.79116307413991,0.3275160747636747,11.008670899697261,13.979659122271578,9.4212217111779,0.7749854675244747,0.18939561490381002
DA718,VBmax,gradient_boosting,138,28.0,158.19082125603862,28.19783365222015,0.17825202137727542,13.337678061896842,8.431385560802697,11.282990116694053,0.6876069612084852,0.2549564632456321
IN718,VBmax,gradient_boosting,150,30.0,139.25777777777776,19.310249918797613,0.13866550383715134,10.229231964714193,7.345537267611444,9.050332738489239,0.6007231521963045,0.4165967645611966
DA718,VBmax,linear_regression,138,28.0,158.19082125603862,28.19783365222015,0.17825202137727542,14.807851799041755,9.36075284360185,12.828460591989455,0.6211650221128873,0.3143515713675056
IN718,VBmax,linear_regression,150,30.0,139.25777777777776,19.310249918797613,0.13866550383715134,10.030971971331917,7.203168204607543,9.085438784839003,0.6102248041386603,0.4169799797235178
DA718,VBmax,random_forest,138,28.0,158.19082125603862,28.19783365222015,0.17825202137727542,14.304190273139584,9.042364253225312,12.042243270013845,0.6441481584997526,0.27429255305354294
IN718,VBmax,random_forest,150,30.0,139.25777777777776,19.310249918797613,0.13866550383715134,10.235995550733366,7.35039414966651,8.89718703587306,0.5955494245402736,0.4352024175483275
