target,model_type,detail,n_obs,n_folds,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
VB,Gradient Boosting (VIF-reduziert),reduced (VIF<1.2),138,28.0,17.064413855318037,9.51935024172593,13.820869310177754,8.407982312503767,0.698669779587871,0.4672433121321585
VB,Random Forest (VIF-reduziert),reduced (VIF<1.2),138,28.0,17.80400733225137,8.75291383628974,14.685495274387533,7.464571427282542,0.7114522155525501,0.3247631056030232
VB,multiple Regression (VIF-reduziert),multiple_reduced (VIF<1.2),138,28.0,20.19190728064869,9.790976756636278,17.1177741712992,9.868214818465404,0.6465203824033467,0.4190569548664048
VB,multiple Regression (alle 6),multiple_all6,138,28.0,20.65060500912959,11.846558829808483,17.750364833250035,11.285427274334568,0.5053096432729254,1.0849352250235385
VB,einfache Regression (1 Signal),isp_mittel,140,28.0,27.10611831241401,7.578717198406561,23.160058124004,6.936281733046135,0.469881753819612,0.3895014510488833
VB,einfache Regression (1 Signal),isp_std,140,28.0,28.59398839047844,15.549489635569888,23.65837468196006,11.878020422282695,0.28897917547089,1.2895464124551714
VB,einfache Regression (1 Signal),isp_max,140,28.0,29.361433339780017,7.120516032093452,24.941772083152948,6.075644433432373,0.3882501232766168,0.3731883046484326
VB,einfache Regression (1 Signal),iz_max,138,28.0,31.875446149385898,9.05067184669732,27.34600000825805,8.887492315625321,0.1761010267141746,0.9332144111869912
VB,einfache Regression (1 Signal),iz_mittel,138,28.0,32.974083960057435,9.286580332804755,28.196768464729026,8.68947980008497,0.1268920914297021,0.9508079961677596
VB,einfache Regression (1 Signal),iz_std,138,28.0,35.27665108392175,4.88954381859348,29.85631701977241,5.408745818759742,0.1496725744516167,0.1942696034892372
VBmax,Gradient Boosting (VIF-reduziert),reduced (VIF<1.2),138,28.0,13.337678061896842,5.067074743287511,11.282990116694052,4.812451148930267,0.6876069612084852,0.2549564632456321
VBmax,Random Forest (VIF-reduziert),reduced (VIF<1.2),138,28.0,14.304190273139584,5.361082930135415,12.042243270013843,5.031696372948736,0.6441481584997526,0.2742925530535429
VBmax,multiple Regression (VIF-reduziert),multiple_reduced (VIF<1.2),138,28.0,14.807851799041757,5.76372799513186,12.828460591989456,5.498059454894789,0.6211650221128873,0.3143515713675056
VBmax,multiple Regression (alle 6),multiple_all6,138,28.0,15.415690515109418,7.432803243096815,13.312986538351163,6.826979430119165,0.5582411179019344,0.5015337438461296
VBmax,einfache Regression (1 Signal),isp_mittel,140,28.0,19.70504879186382,7.676163065597717,17.046036435669322,7.47572854668917,0.3326225237438177,0.632031991407078
VBmax,einfache Regression (1 Signal),isp_max,140,28.0,21.378643749904334,7.678857027569083,18.496655580036208,7.102036843747538,0.2412974411971706,0.6313139488156522
VBmax,einfache Regression (1 Signal),isp_std,140,28.0,21.4047480872971,12.581654677624316,17.912743750980287,9.87844216198494,0.1944292235894669,1.0961252703663389
VBmax,einfache Regression (1 Signal),iz_max,138,28.0,22.965538574487017,6.537363604861409,19.589294765415,6.1935940326747705,0.1657642820901557,0.4811259061497291
VBmax,einfache Regression (1 Signal),iz_std,138,28.0,23.653397164359465,5.124877726773586,19.764745616062147,4.727051633146031,0.14061851265565,0.3678641579969855
VBmax,einfache Regression (1 Signal),iz_mittel,138,28.0,23.926644203002382,6.72837169371575,20.29410801369764,6.041688583333258,0.0979323376368801,0.5001450666722032
