target,protocol,feature_set,n_obs,n_folds,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
VB,LODO (scheibe_id),multiple_all6,138,4.0,20.01127067270789,3.1403658034876196,15.498530834206008,1.6545478652185257,0.7258019605881325,0.09575517240555101
VB,LODO (scheibe_id),multiple_reduced (VIF<1.2),138,4.0,21.403940502427375,4.72608138738331,16.83257340442361,3.164550395027728,0.6811107823421265,0.15286646515821292
VB,LODO (scheibe_id),single_best (isp_mittel),140,4.0,29.080569804365147,4.687958466520377,24.25518333542533,3.909451145036905,0.4209869640759049,0.23249513650800235
VB,LOTO (werkzeug_id),multiple_reduced (VIF<1.2),138,28.0,20.19190728064869,9.790976756636278,17.1177741712992,9.868214818465404,0.6465203824033467,0.4190569548664048
VB,LOTO (werkzeug_id),multiple_all6,138,28.0,20.65060500912959,11.846558829808483,17.750364833250035,11.285427274334568,0.5053096432729254,1.0849352250235385
VB,LOTO (werkzeug_id),single_best (isp_mittel),140,28.0,27.106118312414015,7.578717198406561,23.160058124003996,6.936281733046135,0.469881753819612,0.3895014510488833
VBmax,LODO (scheibe_id),multiple_all6,138,4.0,16.85928286094841,2.289487571996887,13.26068584644671,1.826057687511218,0.5974730466973301,0.15580681356531392
VBmax,LODO (scheibe_id),multiple_reduced (VIF<1.2),138,4.0,17.084569000490433,2.4588343409010975,14.03112131966787,2.86751302230739,0.5853918678540292,0.16816436449309013
VBmax,LODO (scheibe_id),single_best (isp_mittel),140,4.0,22.192119218881615,7.221739981402035,18.636413138400574,6.76686770248576,0.25176918768151285,0.612292756609211
VBmax,LOTO (werkzeug_id),multiple_reduced (VIF<1.2),138,28.0,14.807851799041755,5.76372799513186,12.828460591989455,5.498059454894789,0.6211650221128873,0.3143515713675056
VBmax,LOTO (werkzeug_id),multiple_all6,138,28.0,15.415690515109418,7.432803243096815,13.312986538351165,6.826979430119165,0.5582411179019344,0.5015337438461296
VBmax,LOTO (werkzeug_id),single_best (isp_mittel),140,28.0,19.70504879186382,7.676163065597717,17.046036435669322,7.47572854668917,0.3326225237438177,0.632031991407078
