,isp_max,isp_mittel,isp_std,iz_max,iz_mittel,iz_std,VB,VBmax
isp_max,1.0,0.9840840859330562,0.9170479996028462,0.15034366008442215,0.10543081028263579,0.1272096456624645,0.6671097470207866,0.6311918968184763
isp_mittel,0.9840840859330562,1.0,0.8740372064016959,0.24040670463205296,0.1915634433880373,0.20538801658156908,0.7228047994325691,0.6925429611559839
isp_std,0.9170479996028462,0.8740372064016959,1.0,0.16417262484002976,0.12571443070546173,0.07109476211422337,0.6729698250039013,0.6175512058475345
iz_max,0.15034366008442215,0.24040670463205296,0.16417262484002976,1.0,0.9788576395265388,0.3518121970356128,0.5872645387465086,0.5780649806173177
iz_mittel,0.10543081028263579,0.1915634433880373,0.12571443070546173,0.9788576395265388,1.0,0.2983122817021018,0.5474817798217783,0.5265161256841566
iz_std,0.1272096456624645,0.20538801658156908,0.07109476211422337,0.3518121970356128,0.2983122817021018,1.0,0.4256166764070687,0.5168648824805916
VB,0.6671097470207866,0.7228047994325691,0.6729698250039013,0.5872645387465086,0.5474817798217783,0.4256166764070687,1.0,0.9492560909726484
VBmax,0.6311918968184763,0.6925429611559839,0.6175512058475345,0.5780649806173177,0.5265161256841566,0.5168648824805916,0.9492560909726484,1.0
